기업명_그룹,매출액,영업이익,당기순이익,자산총계,자본총계,자본금,영업활동현금흐름,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,EPS(원),PER(배),BPS(원),PBR(배),발행주식수(보통주)
롯데웰푸드,39115.0,1562.8333333333333,709.1666666666666,42547.666666666664,21793.333333333332,47.0,3094.1666666666665,13556.333333333334,3.98,1.8,3.655,1.72,95.23333333333335,7965.0,15.181666666666667,236324.16666666666,0.49666666666666676,9434574.0
롯데정밀화학,18354.166666666668,1441.8333333333333,1032.3333333333333,27028.833333333332,23611.166666666668,1290.0,2610.1666666666665,1102.8333333333333,7.161666666666666,5.508333333333333,4.443333333333333,3.8216666666666668,14.498333333333335,4000.8333333333335,18.363333333333333,92701.66666666667,0.5216666666666666,25800000.0
롯데지주,152837.5,4164.5,-3623.8333333333335,227461.83333333334,94518.83333333333,211.0,10896.333333333334,90427.83333333333,2.7449999999999997,-2.2433333333333336,-7.45,-1.5583333333333336,140.81166666666667,-4597.833333333333,-60.134965428980024,92147.0,0.27,104909237.0
롯데칠성,35607.666666666664,1998.3333333333333,1073.5,42214.666666666664,15368.333333333334,50.0,2965.5,17217.833333333332,5.778333333333333,3.233333333333333,7.383333333333333,2.6916666666666664,174.4766666666667,10567.333333333334,14.785000000000002,146174.33333333334,0.9233333333333333,9278884.0
롯데케미칼,205766.83333333334,-6900.5,-9212.333333333334,328990.1666666667,196154.83333333334,2068.1666666666665,10064.5,97242.5,-3.34,-4.515,-5.758333333333333,-2.7099999999999995,67.44500000000001,-20107.166666666668,-26.1137935523594,360402.1666666667,0.30333333333333334,41651578.666666664
메리츠금융지주,540097.6666666666,30544.833333333332,22307.166666666668,1066972.6666666667,102544.0,1061.5,-10616.666666666666,189608.83333333334,5.8116666666666665,4.243333333333333,26.44333333333334,2.2266666666666666,939.835,11225.5,6.914999999999999,51702.166666666664,1.4900000000000002,184412732.0
미래에셋증권,210961.0,9069.833333333334,6915.0,1291495.0,117379.0,41020.0,-60518.333333333336,332351.5,4.25,3.2416666666666667,6.008333333333333,0.5416666666666666,999.1283333333334,904.1666666666666,10.411666666666667,19412.5,0.3916666666666666,596983074.6666666
미스토홀딩스,41735.166666666664,3540.8333333333335,2328.0,52319.0,26485.5,611.0,4164.833333333333,15862.5,8.468333333333334,5.553333333333334,6.185,4.7250000000000005,97.38,1875.6666666666667,33.80166666666667,33027.833333333336,1.1683333333333332,60424030.5
미원상사,4314.0,651.8333333333334,576.1666666666666,4578.166666666667,3832.1666666666665,67.0,840.8333333333334,3.1666666666666665,15.13,13.373333333333333,15.918333333333331,13.223333333333334,19.503333333333334,11943.0,15.246666666666668,81372.0,2.2,4766666.666666667
삼성E&A,102006.5,9339.833333333334,6504.333333333333,89152.33333333333,34767.833333333336,9800.0,7607.5,1538.8333333333333,9.156666666666666,6.375,22.694999999999997,7.9750000000000005,158.11833333333334,3778.3333333333335,5.751666666666668,18992.666666666668,1.2016666666666669,196000000.0
삼성SDI,187957.16666666666,9532.0,13163.166666666666,366878.6666666667,202889.16666666666,3567.0,10725.5,86728.16666666667,4.725,6.636666666666668,7.478333333333334,4.125,80.40666666666665,18002.333333333332,23.606666666666666,274824.6666666667,1.4183333333333332,70303724.0
삼성물산,422104.5,28698.5,27165.333333333332,628677.8333333334,372556.3333333333,186.33333333333334,30227.333333333332,50789.5,6.805,6.436666666666667,7.035,4.358333333333333,69.19,11888.5,10.069999999999999,191851.5,0.6233333333333333,181903790.33333334
삼성바이오로직스,40054.0,11952.166666666666,9605.666666666666,167805.5,102266.0,1779.0,15438.833333333334,17985.333333333332,30.023333333333337,24.078333333333337,10.168333333333331,6.081666666666666,64.66,13529.333333333334,64.19,143684.5,6.011666666666667,71174000.0
삼성생명,329365.0,24128.166666666668,21926.5,3103667.6666666665,380750.8333333333,1000.0,31349.166666666668,198824.33333333334,7.340000000000001,6.653333333333333,5.733333333333333,0.7033333333333335,732.1966666666667,10234.5,8.020000000000001,201168.5,0.425,200000000.0
삼성에스디에스,142121.66666666666,8776.333333333334,8168.5,127182.16666666667,92557.33333333333,387.0,13209.0,9259.0,6.211666666666666,5.708333333333333,9.318333333333333,6.6933333333333325,37.48333333333333,10247.666666666666,14.295,115360.0,1.2300000000000002,77377800.0
삼성전기,96819.5,7848.0,6673.5,121150.33333333333,84669.66666666667,3880.0,13709.333333333334,16010.333333333334,8.138333333333334,6.861666666666667,8.206666666666665,5.783333333333334,43.15833333333333,8298.666666666666,18.166666666666668,109426.83333333333,1.2383333333333333,74693696.0
삼성중공업,86121.33333333333,1867.1666666666667,-1294.8333333333333,162103.83333333334,36064.666666666664,8801.0,-1270.8333333333333,35188.333333333336,1.1150000000000002,-2.135,-3.2016666666666658,-0.9633333333333333,349.3766666666667,-136.83333333333334,61.26326208513708,4265.166666666667,2.111666666666667,880000000.0
삼성증권,133705.83333333334,9462.833333333334,7023.666666666667,589476.3333333334,69023.16666666667,4585.0,9739.166666666666,86546.33333333333,7.066666666666666,5.248333333333333,10.438333333333333,1.2033333333333334,754.39,7865.666666666667,5.361666666666667,77293.5,0.5133333333333333,89300000.0
삼성카드,41587.666666666664,8541.833333333334,6391.5,292864.1666666667,82699.83333333333,6148.0,-1823.5,181731.33333333334,20.571666666666665,15.386666666666668,7.883333333333333,2.2016666666666667,254.37833333333333,5516.5,6.406666666666666,77498.83333333333,0.4566666666666667,115858891.0
삼성화재,215386.16666666666,24513.5,19167.166666666668,854404.1666666666,152698.16666666666,265.0,13747.166666666666,1566.5,11.356666666666667,8.883333333333333,12.736666666666666,2.2466666666666666,462.7366666666667,37839.833333333336,7.845,358449.8333333333,0.8333333333333334,47374837.0
삼아알미늄,2672.0,2.3333333333333335,-7.0,4009.0,2297.8333333333335,70.83333333333333,50.333333333333336,1249.5,-0.22999999999999984,-0.5183333333333332,0.9083333333333332,0.3250000000000002,77.19,21.333333333333332,128.23336477987422,16146.833333333334,3.6166666666666667,14093263.333333334
삼양식품,14131.333333333334,2365.3333333333335,1912.3333333333333,13416.5,6820.666666666667,377.0,2429.5,3470.6666666666665,15.75,12.858333333333333,31.10833333333333,15.431666666666667,97.83166666666666,25405.5,16.89,90128.16666666667,4.788333333333333,7533015.0
세방전지,18368.666666666668,1466.6666666666667,1327.3333333333333,19402.166666666668,14089.666666666666,70.0,1477.0,2136.3333333333335,7.846666666666668,7.011666666666667,9.803333333333333,7.046666666666667,37.59166666666667,9343.0,7.6000000000000005,104084.16666666667,0.5933333333333333,14000000.0
